Counterparty,Internal/External,Trade Status,Portfolio,User Name,User Group,User Desk,Clearing Eligibility,Typology,Source System,Entity,Trade Insert,Flow Currency,Last Contract Event Action,Payment Netting,Contract Id,Party Name,partyName2
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330536,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330535,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330534,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330533,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330532,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330531,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330530,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330529,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330528,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330527,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330526,RABOBANK,RABOBANK
None,external,dead,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330523,RABOBANK,RABOBANK
None,external,dead,LOFXSP_EMKT_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330522,RABOBANK,RABOBANK
None,internal,dead,LOFXSP_EMKT_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,None,INSERT,false,7330521,RABOBANK,RABOBANK
None,external,live,LOFXSP_AI_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330520,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330519,RABOBANK,RABOBANK
None,external,dead,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330518,RABOBANK,RABOBANK
None,external,dead,UT_CLSIO,MUREXFO,FO,FOD EUROPE,false,Outright,Theoretical,EUROPE_EUR,INSERT,GBP,INSERT,true,7330517,RABOBANK,RABOBANK
None,external,dead,UT_CLSIO,MUREXFO,FO,FOD EUROPE,false,Outright,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330516,RABOBANK,RABOBANK
None,external,dead,UT_CLSIO,MUREXFO,FO,FOD EUROPE,false,Outright,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330515,RABOBANK,RABOBANK
None,external,dead,UT_CLSIO,MUREXFO,FO,FOD EUROPE,false,Outright,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330514,RABOBANK,RABOBANK
None,external,dead,UT_CLSIO,MUREXFO,FO,FOD EUROPE,false,Outright,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330513,RABOBANK,RABOBANK
None,external,dead,UT_CLSIO,MUREXFO,FO,FOD EUROPE,false,Outright,Theoretical,EUROPE_EUR,INSERT,SGD,INSERT,true,7330512,RABOBANK,RABOBANK
None,external,dead,UT_CLSIO,MUREXFO,FO,FOD EUROPE,false,Outright,Theoretical,EUROPE_EUR,INSERT,HKD,INSERT,true,7330511,RABOBANK,RABOBANK
None,external,dead,UT_CLSIO,MUREXFO,FO,FOD EUROPE,false,Outright,Theoretical,EUROPE_EUR,INSERT,GBP,INSERT,true,7330510,RABOBANK,RABOBANK
None,external,dead,UT_CLSIO,MUREXFO,FO,FOD EUROPE,false,Outright,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330509,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,JPY,INSERT,true,7330508,RABOBANK,RABOBANK
None,external,dead,UT_CLSIO,MUREXFO,FO,FOD EUROPE,false,Outright,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330507,RABOBANK,RABOBANK
None,external,dead,UT_CLSIO,MUREXFO,FO,FOD EUROPE,false,Outright,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330506,RABOBANK,RABOBANK
None,external,dead,UT_CLSIO,MUREXFO,FO,FOD EUROPE,false,Outright,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330505,RABOBANK,RABOBANK
None,external,dead,UT_CLSIO,MUREXFO,FO,FOD EUROPE,false,Outright,Theoretical,EUROPE_EUR,INSERT,SGD,INSERT,true,7330504,RABOBANK,RABOBANK
None,external,dead,UT_CLSIO,MUREXFO,FO,FOD EUROPE,false,Outright,Theoretical,EUROPE_EUR,INSERT,HKD,INSERT,true,7330503,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,JPY,INSERT,true,7330502,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,JPY,INSERT,true,7330501,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,USD,INSERT,true,7330500,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,USD,INSERT,true,7330499,RABOBANK,RABOBANK
None,external,dead,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330498,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,JPY,INSERT,true,7330497,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,JPY,INSERT,true,7330496,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,JPY,INSERT,true,7330495,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,JPY,INSERT,true,7330494,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,JPY,INSERT,true,7330493,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,JPY,INSERT,true,7330492,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,JPY,INSERT,true,7330491,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330488,RABOBANK,RABOBANK
None,external,live,LOFXSP_EMKT_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330487,RABOBANK,RABOBANK
None,external,live,LOFXSP_AI_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330486,RABOBANK,RABOBANK
None,internal,live,LOFXSP_EMKT_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,None,INSERT,false,7330485,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,JPY,INSERT,true,7330484,RABOBANK,RABOBANK
None,external,live,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,JPY,INSERT,true,7330483,RABOBANK,RABOBANK
None,internal,dead,LOFXSP_EMKT_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,None,INSERT,true,7330480,RABOBANK,RABOBANK
None,external,dead,UTFX_WASH,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330479,RABOBANK,RABOBANK
None,external,dead,LOFXSP_AI_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330478,RABOBANK,RABOBANK
None,internal,dead,LOFXSP_EMKT_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,None,INSERT,false,7330477,RABOBANK,RABOBANK
None,external,dead,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330474,RABOBANK,RABOBANK
None,external,dead,LOFXSP_EMKT_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330473,RABOBANK,RABOBANK
None,internal,dead,LOFXSP_EMKT_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,None,INSERT,false,7330472,RABOBANK,RABOBANK
None,external,dead,LOFXSP_AI_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330471,RABOBANK,RABOBANK
None,external,dead,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,HKD,INSERT,true,7330470,RABOBANK,RABOBANK
None,external,dead,LOFXSP_TRAD2_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,EUROPE_EUR,INSERT,EUR,INSERT,true,7330467,RABOBANK,RABOBANK
None,external,dead,HKFXSP_TRAD1_UT,MUREXFO,FO,FOD EUROPE,false,Spot,Theoretical,ASIA_USD,INSERT,EUR,INSERT,true,7330466,RABOBANK,RABOBANK
